transaction_id,date,product,region,quantity,unit_price
6aa727dd-bfb0-473d-8369-d01819ffd789,2024-11-06,Mouse,East,1,29.99
a5c13ea4-06dc-4389-8203-062313612604,2024-05-29,Laptop,South,3,999.99
6e5d0f7c-c9d4-4e64-bc7e-15c945085831,2024-03-19,Laptop,East,4,N/A
e22007ee-04e9-45d2-8f10-cb565ce6dc69,2024-10-21,Laptop,South,4,999.99
789ffe5e-a76f-4285-b8dd-816e1bce7b0f,2024-06-08,Mouse,South,5,29.99
fb89f57b-7179-4142-9354-4f6f69833822,2024-04-10,Laptop,North,1,999.99
c8a698f0-2e71-44ce-8763-b3df9e8c7b5f,2024-11-17,Laptop,West,3,999.99
ac9a73ad-ae0d-4260-b3be-ae759bd570f2,2024-03-21,Monitor,East,4,349.99
70f3f3d2-a94d-4402-833c-43b3fe7578c3,2024-05-15,Monitor,South,5,349.99
a8daa47d-de3a-41ef-9aa8-00d99a2da8b8,2024-04-27,Keyboard,North,3,79.99
0faa181b-c8c0-401c-b361-f8f20d9f6f1e,2024-08-28,Keyboard,East,5,79.99
f70c3797-5b38-48e7-8afb-416b8f7e7786,2024-09-15,Headset,North,5,89.99
ff1c5878-b210-4c1b-a1ce-b9454a265915,2024-08-15,Keyboard,North,4,79.99
26bc327c-21dc-4412-9776-8e7a8dede0c7,2024-06-28,Monitor,West,5,349.99
5240487d-5624-44fa-bcf2-2cd2e438f396,2024-12-15,Keyboard,West,4,79.99
5128d926-7653-4dcf-90d9-19fadc520365,2024-04-06,Monitor,West,2,349.99
103bab74-ed4f-4516-b4e2-14645873cc51,2024-08-16,Laptop,South,1,999.99
a10d15b5-9aad-4118-90a7-91dda8a3f551,2024-11-28,Mouse,South,2,29.99
d1e91174-7375-4c68-bed0-8da583861ab1,2024-05-30,Headset,West,5,89.99
e6c86f54-a5a7-4f79-9b4f-d5786e6875fd,2024-05-30,Mouse,West,2,29.99
bd212f73-907b-4d99-84ea-6606a8b2b2da,2024-12-04,Headset,West,3,89.99
b0390905-ab15-488b-9289-629471e2e31a,2024-03-09,Headset,South,4,89.99
8671bf62-87ee-491e-9fa0-0387055b20ef,2024-02-14,Laptop,West,3,999.99
4ba4987f-7ffa-49c7-9f91-149ca3985c4b,2024-07-13,Laptop,East,5,999.99
c82aa82b-84ae-48f4-ad02-76cad7bc8ff1,2024-07-14,Laptop,North,2,999.99
e9c2f513-12e1-4090-9217-c590129863fe,2024-11-12,Laptop,South,4,999.99
bf7e5a70-30ac-486c-9790-b151d2912506,2024-03-24,Mouse,West,3,29.99
75680005-b061-45d0-b987-6f17179c1916,2024-03-05,Mouse,East,4,29.99
bb9e9bbc-948b-474a-992b-41e8af9cb8e2,2024-01-19,Headset,West,2,89.99
cd370f7c-59ed-4fab-a9f1-027e66455c46,2024-05-30,Monitor,North,3,349.99
ce521802-b838-4a76-9639-1c708ee826e6,2024-02-23,Mouse,South,5,29.99
9eedabff-9b5e-4b75-8ee9-725d91ccf791,2024-04-04,Keyboard,East,4,79.99
6fc1346c-eb2f-487d-9063-5d0d0b8478c7,2024-05-09,Laptop,North,5,999.99
9be0499e-ab40-429d-a6e8-d807a27e081c,2024-09-01,Keyboard,South,5,79.99
b0957009-c195-44bf-9ad2-11200688fa11,2024-03-01,Headset,East,1,89.99
bec0f616-2092-488a-9f47-de008d702823,2024-12-15,Laptop,West,2,999.99
1a001168-7bb5-4bd1-835d-3997d5657154,2024-04-09,Monitor,East,2,349.99
158f1a18-7987-42dc-9577-f8829fcc97df,2024-02-17,Monitor,East,4,349.99
8461e0ae-ba62-4e1b-89ea-abd1983f857b,2024-10-03,Headset,West,3,89.99
6b37b613-2e38-457f-8b16-bc47a2a2eff3,2024-06-12,Mouse,North,5,29.99
857cc835-f138-4d2f-a5ee-ee5249a2ddc5,2024-08-01,Monitor,North,5,349.99
3649b542-67ae-4a28-83f6-61152201e91c,2024-02-06,Headset,East,3,89.99
eafc02fb-6bcf-4c87-be6c-c0dc1bc3b50b,2024-02-28,Mouse,South,2,29.99
086a7ae2-3bb9-49a1-afef-dacb0d4d5b7d,2024-10-12,Laptop,North,4,999.99
a8519a4b-3b42-4fa7-af25-2de1bcbe8a26,2024-08-24,Headset,South,3,89.99
9839e4cc-e2ad-4750-97e7-5d1b50224a0c,2024-12-18,Headset,North,1,89.99
d37839c1-5659-40da-b66a-767af58f0487,2024-09-05,Headset,North,3,89.99
3b8bfbc9-e5e4-469e-9063-1db30f239257,2024-03-03,Headset,South,5,89.99
e5da07a3-3544-47ae-a0fe-d312d3b37966,2024-09-27,Keyboard,West,4,79.99
ebc197d2-df27-4814-a405-6286eafdb2b6,2024-10-26,Mouse,South,3,29.99
84d696f1-44a8-4b06-a40a-72cff52892d2,2024-04-25,Laptop,East,3,999.99
fa73ffa6-fe94-434f-824b-b1d8c1236a17,2024-09-03,Headset,West,1,89.99
3d00e323-b811-413c-afc7-db31d2f14358,2024-03-15,Mouse,East,2,29.99
7b8e0b1b-713a-4b03-9f7b-5e2342883d56,2024-10-18,Mouse,East,3,29.99
76b07e1b-7c92-41b3-ad30-55a051c4acf3,2024-03-03,Mouse,West,2,29.99
7e020b02-e713-4743-a815-56e09cfd8f01,2024-07-11,Headset,East,4,89.99
c2d9a4b6-5328-4371-a2ea-9554784c4924,2024-03-28,Keyboard,West,5,79.99
b2cfb673-5b75-409c-9618-405ce4a56b2e,2024-05-15,Headset,West,2,89.99
c50826f7-cbfd-420f-b83b-12fa52c4845d,2024-12-19,Monitor,South,1,349.99
6b55de8c-4c08-4593-add6-ae4ce7c12b6f,2024-06-19,Headset,South,4,89.99
490eef38-512f-40b0-98c2-1b588d22d1cb,2024-11-04,Keyboard,North,2,79.99
da1c4cd6-9e2e-4b63-b2b2-aee081619b94,2024-10-31,Monitor,West,5,349.99
a479c300-6cb9-4f32-b5f4-883516cba0cf,2024-12-06,Headset,North,2,89.99
c05964fd-f44d-4c47-994f-b946decb2a70,2024-06-11,Mouse,North,1,29.99
e7468209-dc62-4767-b1c4-f12087cbee26,2024-09-01,Keyboard,West,5,79.99
de6a4e5c-592a-4e13-9759-93694483c42f,2024-11-22,Headset,North,3,89.99
9cbd139f-0bd6-4651-be5a-e85ec3214f00,2024-06-14,Headset,East,2,89.99
7b8084d0-2d74-430f-b696-fff74719ba5a,2024-05-31,Keyboard,West,4,79.99
3f521677-df33-41fe-82a6-8f2667587b7c,2024-05-10,Laptop,East,2,999.99
